,(basal) dendrite,apical dendrite,axon,dataset,hemisphere_id,soma,structure_id
0,,,8536.190546466643,236174_03029_03128_X13178_Y25409_QCed.swc,1,,806
1,,,3019.8717329886163,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1035
2,,,11556.06227945526,236174_03029_03128_X13178_Y25409_QCed.swc,1,,378
3,,,1258.37749010995,236174_03029_03128_X13178_Y25409_QCed.swc,1,,577
4,,,4015.352768071716,236174_03029_03128_X13178_Y25409_QCed.swc,1,,854
5,,,5273.730258181666,236174_03029_03128_X13178_Y25409_QCed.swc,1,,369
6,,,6893.071649107748,236174_03029_03128_X13178_Y25409_QCed.swc,1,,974
7,,,14492.104469137765,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1102
8,,,12669.028408664022,236174_03029_03128_X13178_Y25409_QCed.swc,1,,950
9,,,619.9721201943274,236174_03029_03128_X13178_Y25409_QCed.swc,1,,878
10,,,36205.593914905825,236174_03029_03128_X13178_Y25409_QCed.swc,1,,657
11,,,70879.77056200968,236174_03029_03128_X13178_Y25409_QCed.swc,1,,345
12,,,76153.50082019134,236174_03029_03128_X13178_Y25409_QCed.swc,1,,322
13,,,87709.5630996466,236174_03029_03128_X13178_Y25409_QCed.swc,1,,453
14,,,14514.577821449599,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1101
15,,,3025.105800078148,236174_03029_03128_X13178_Y25409_QCed.swc,1,,328
16,,,17539.683621527747,236174_03029_03128_X13178_Y25409_QCed.swc,1,,104
17,,,17539.683621527747,236174_03029_03128_X13178_Y25409_QCed.swc,1,,95
18,,,15973.77777482033,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1021
19,,,161114.45357036695,236174_03029_03128_X13178_Y25409_QCed.swc,1,,767
20,,,6453.840046395077,236174_03029_03128_X13178_Y25409_QCed.swc,1,,656
21,,,120045.21403575984,236174_03029_03128_X13178_Y25409_QCed.swc,1,,962
22,,,813.0885354970699,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1085
23,,,304400.3739628393,236174_03029_03128_X13178_Y25409_QCed.swc,1,,993
24,,,178040.07743382873,236174_03029_03128_X13178_Y25409_QCed.swc,1,,943
25,,,91053.52054002683,236174_03029_03128_X13178_Y25409_QCed.swc,1,,648
26,,,40705.417615831306,236174_03029_03128_X13178_Y25409_QCed.swc,1,,844
27,,,5514.740829238027,236174_03029_03128_X13178_Y25409_QCed.swc,1,,320
28,,,315313.7564189249,236174_03029_03128_X13178_Y25409_QCed.swc,1,,985
29,,,619714.1303817641,236174_03029_03128_X13178_Y25409_QCed.swc,1,,500
30,,,1487.6958791120899,236174_03029_03128_X13178_Y25409_QCed.swc,1,,526157196
31,,,10484.37344967391,236174_03029_03128_X13178_Y25409_QCed.swc,1,,526157192
32,,,553.5928971315308,236174_03029_03128_X13178_Y25409_QCed.swc,1,,667
33,,,12525.662225917533,236174_03029_03128_X13178_Y25409_QCed.swc,1,,184
34,,,3398.8969720077744,236174_03029_03128_X13178_Y25409_QCed.swc,1,,180
35,,,3398.8969720077744,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1057
36,,,740887.9363008639,236174_03029_03128_X13178_Y25409_QCed.swc,1,,315
37,,,740887.9363008639,236174_03029_03128_X13178_Y25409_QCed.swc,1,,695
38,,,740887.9363008639,236174_03029_03128_X13178_Y25409_QCed.swc,1,,688
39,,,740887.9363008639,236174_03029_03128_X13178_Y25409_QCed.swc,1,,567
40,,,740887.9363008639,236174_03029_03128_X13178_Y25409_QCed.swc,1,,8
41,,,6660.256769766633,236174_03029_03128_X13178_Y25409_QCed.swc,1,,956
42,,,8385.254743795389,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1108
43,,,15045.511513562022,236174_03029_03128_X13178_Y25409_QCed.swc,1,,776
44,,,15045.511513562022,236174_03029_03128_X13178_Y25409_QCed.swc,1,,983
45,,,1445.6912403593285,236174_03029_03128_X13178_Y25409_QCed.swc,1,,484682512
46,,,1292.6829754646515,236174_03029_03128_X13178_Y25409_QCed.swc,1,,940
47,,,1292.6829754646515,236174_03029_03128_X13178_Y25409_QCed.swc,1,,768
48,,,1292.6829754646515,236174_03029_03128_X13178_Y25409_QCed.swc,1,,991
49,,,17783.885729386,236174_03029_03128_X13178_Y25409_QCed.swc,1,,1009
50,,,758671.8220302499,236174_03029_03128_X13178_Y25409_QCed.swc,1,,997
51,,,862.2742732683837,236174_03029_03128_X13178_Y25409_QCed.swc,2,,303
52,,,862.2742732683837,236174_03029_03128_X13178_Y25409_QCed.swc,2,,295
53,,,10.984858524906953,236174_03029_03128_X13178_Y25409_QCed.swc,2,,131
54,,,13169.557976145588,236174_03029_03128_X13178_Y25409_QCed.swc,2,,583
55,,,4831.082096600197,236174_03029_03128_X13178_Y25409_QCed.swc,2,,952
56,,,4831.082096600197,236174_03029_03128_X13178_Y25409_QCed.swc,2,,942
57,,,19442.99166545042,236174_03029_03128_X13178_Y25409_QCed.swc,2,,703
58,,,11743.362740984332,236174_03029_03128_X13178_Y25409_QCed.swc,2,,974
59,,,7324.6678011853455,236174_03029_03128_X13178_Y25409_QCed.swc,2,,1102
60,,,2612.649194042688,236174_03029_03128_X13178_Y25409_QCed.swc,2,,950
61,,,28.081664860488292,236174_03029_03128_X13178_Y25409_QCed.swc,2,,878
62,,,8380.17483862462,236174_03029_03128_X13178_Y25409_QCed.swc,2,,657
63,,,30088.936239697476,236174_03029_03128_X13178_Y25409_QCed.swc,2,,345
64,,,30088.936239697476,236174_03029_03128_X13178_Y25409_QCed.swc,2,,322
65,,,30088.936239697476,236174_03029_03128_X13178_Y25409_QCed.swc,2,,453
66,,,60.831747163325176,236174_03029_03128_X13178_Y25409_QCed.swc,2,,800
67,,,1318.583563673196,236174_03029_03128_X13178_Y25409_QCed.swc,2,,675
68,,,1379.4153108365213,236174_03029_03128_X13178_Y25409_QCed.swc,2,,119
69,,,447.5046183614592,236174_03029_03128_X13178_Y25409_QCed.swc,2,,831
70,13977.250304253794,13281.628300936587,117240.42432942352,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,1101
71,,,30874.20472881396,236174_03029_03128_X13178_Y25409_QCed.swc,2,,783
72,,,17028.82025579765,236174_03029_03128_X13178_Y25409_QCed.swc,2,,328
73,,,944.3524142967169,236174_03029_03128_X13178_Y25409_QCed.swc,2,,996
74,13977.250304253794,13281.628300936587,166535.3063466933,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,104
75,13977.250304253794,13281.628300936587,167914.72165752982,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,95
76,,,1083.870834310087,236174_03029_03128_X13178_Y25409_QCed.swc,2,,810
77,,,461.28843767729353,236174_03029_03128_X13178_Y25409_QCed.swc,2,,772
78,,,1545.1592719873806,236174_03029_03128_X13178_Y25409_QCed.swc,2,,48
79,,,1545.1592719873806,236174_03029_03128_X13178_Y25409_QCed.swc,2,,31
80,,,21703.266536580883,236174_03029_03128_X13178_Y25409_QCed.swc,2,,767
81,,,206.0692208913368,236174_03029_03128_X13178_Y25409_QCed.swc,2,,656
82,,,29749.01494333634,236174_03029_03128_X13178_Y25409_QCed.swc,2,,962
83,,,51658.35070080856,236174_03029_03128_X13178_Y25409_QCed.swc,2,,993
84,,,37572.5916350974,236174_03029_03128_X13178_Y25409_QCed.swc,2,,943
85,,1299.654808716442,54971.554655712476,236174_03029_03128_X13178_Y25409_QCed.swc,2,,648
86,,,10451.067957172403,236174_03029_03128_X13178_Y25409_QCed.swc,2,,844
87,,,2433.281761898975,236174_03029_03128_X13178_Y25409_QCed.swc,2,,320
88,,1299.654808716442,105428.49600988126,236174_03029_03128_X13178_Y25409_QCed.swc,2,,985
89,,1299.654808716442,157086.84671068983,236174_03029_03128_X13178_Y25409_QCed.swc,2,,500
90,,,9135.430161482678,236174_03029_03128_X13178_Y25409_QCed.swc,2,,180
91,,,5650.714963007666,236174_03029_03128_X13178_Y25409_QCed.swc,2,,148
92,,,3993.5221582127188,236174_03029_03128_X13178_Y25409_QCed.swc,2,,36
93,,,4902.901899632405,236174_03029_03128_X13178_Y25409_QCed.swc,2,,187
94,,,23682.56918233547,236174_03029_03128_X13178_Y25409_QCed.swc,2,,1057
95,13977.250304253794,14581.283109653028,380318.23306224,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,315
96,13977.250304253794,14581.283109653028,380318.23306224,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,695
97,13977.250304253794,14581.283109653028,399761.22472769045,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,688
98,,,941.2354632315249,236174_03029_03128_X13178_Y25409_QCed.swc,2,,544
99,,,941.2354632315249,236174_03029_03128_X13178_Y25409_QCed.swc,2,,536
100,,,941.2354632315249,236174_03029_03128_X13178_Y25409_QCed.swc,2,,278
101,,,11594.916309639686,236174_03029_03128_X13178_Y25409_QCed.swc,2,,672
102,,,11594.916309639686,236174_03029_03128_X13178_Y25409_QCed.swc,2,,485
103,,,13171.689430318105,236174_03029_03128_X13178_Y25409_QCed.swc,2,,477
104,,,13171.689430318105,236174_03029_03128_X13178_Y25409_QCed.swc,2,,623
105,13977.250304253794,14581.283109653028,412932.9141580086,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,567
106,13977.250304253794,14581.283109653028,412932.9141580086,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,8
107,,,4356.364373049361,236174_03029_03128_X13178_Y25409_QCed.swc,2,,579
108,,,12929.476352187918,236174_03029_03128_X13178_Y25409_QCed.swc,2,,956
109,,,4763.342734866757,236174_03029_03128_X13178_Y25409_QCed.swc,2,,1108
110,,,17692.819087054675,236174_03029_03128_X13178_Y25409_QCed.swc,2,,776
111,,,17692.819087054675,236174_03029_03128_X13178_Y25409_QCed.swc,2,,983
112,,,510.2511110584316,236174_03029_03128_X13178_Y25409_QCed.swc,2,,484682512
113,,,178.98718095258124,236174_03029_03128_X13178_Y25409_QCed.swc,2,,940
114,,,178.98718095258124,236174_03029_03128_X13178_Y25409_QCed.swc,2,,768
115,,,178.98718095258124,236174_03029_03128_X13178_Y25409_QCed.swc,2,,991
116,,,18382.05737906569,236174_03029_03128_X13178_Y25409_QCed.swc,2,,1009
117,13977.250304253794,14581.283109653028,431314.97153707425,236174_03029_03128_X13178_Y25409_QCed.swc,2,4.1887902047863905,997
